a11,a12,a21,a22,b11,b12,b21,b22,x1,x2,y1,y2
2.4,8.6,7.8,5.0,9.278499060077252,1.6,1.0,9.4,0.522436825017897,0.4775631749821031,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.194213395715529,1.6,1.0,9.4,0.6464415924375737,0.3535584075624262,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.01435729719832,1.6,1.0,9.4,0.5311629073593873,0.46883709264061285,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.394478524151805,1.6,1.0,9.4,0.9135917798856248,0.08640822011437521,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.7983622724183315,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,7.840861625304548,1.6,1.0,9.4,0.573736724994508,0.4262632750054921,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.4818339405401497,1.6,1.0,9.4,0.8169748751611049,0.18302512483889508,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.042585611249403,1.6,1.0,9.4,0.7093045620055091,0.2906954379944911,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.4941339654762231,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,6.578880418162734,1.6,1.0,9.4,0.6278552268541419,0.37214477314585803,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.624825476918452,1.6,1.0,9.4,0.8057688849178716,0.19423111508212837,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,6.340429950935892,1.6,1.0,9.4,0.6392484896890099,0.36075151031099006,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.15755403120972,1.6,1.0,9.4,0.5615891463586199,0.43841085364138016,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.989760241876599,1.6,1.0,9.4,0.7124826822316241,0.28751731776837597,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.780445798757493,1.6,1.0,9.4,0.6677028886233607,0.3322971113766393,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.1393473256233335,1.6,1.0,9.4,0.7678703079775704,0.2321296920224296,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.264545232081721,1.6,1.0,9.4,0.7591816765902089,0.2408183234097914,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.5104790809513113,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,1.7455726242224923,1.6,1.0,9.4,0.9829651410591415,0.017034858940858502,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.6774408546878687,1.6,1.0,9.4,0.8017224927823505,0.1982775072176494,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,9.806872147985246,1.6,1.0,9.4,0.5058146967801576,0.4941853032198425,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.6561208612276754,1.6,1.0,9.4,0.8033572021100126,0.19664279788998745,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,4.549934257072965,1.6,1.0,9.4,0.7400923925850367,0.25990760741496344,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.112177369538923,1.6,1.0,9.4,0.8474424626231982,0.15255753737680178,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,3.6088348948924844,1.6,1.0,9.4,0.8070067480964465,0.19299325190355363,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,0.3643578145181503,1.6,1.0,9.4,1.0,0.0,0.0,1.0
2.4,8.6,7.8,5.0,6.966560230200703,1.6,1.0,9.4,0.6101742090643899,0.38982579093561,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,8.458327208633206,1.6,1.0,9.4,0.5505190631412896,0.4494809368587105,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,5.3330993397395945,1.6,1.0,9.4,0.6923210438480004,0.30767895615199964,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,1.614936525043591,1.6,1.0,9.4,0.9982249984893958,0.0017750015106042065,0.4,0.6000000000000001
2.4,8.6,7.8,5.0,2.5923951362566955,1.6,1.0,9.4,0.8943405678892454,0.10565943211075454,0.4,0.6000000000000001
