target,variables,adpt_const,adpt_const_value,const_token_list,expression,traversal,NRMSE
x1,['b11'],b12,6.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 6.2",[(15.0191570881226 - 0.0193878964132392*x1)/(55.68 - 6.8*x1)],"div,add,6.7,add,8.3,div,div,sub,sub,8.3,x1,mul,x1,7.4,8.3,mul,5.8,9.0,div,sub,mul,sub,9.6,x1,5.8,x1,div,6.2,6.2",0.0004831380694837
x1,['b11'],b12,7.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 7.2",[-1.9/(0.850746268656716*x1 - 7.95944435278447)],"div,sub,5.5,7.4,add,div,add,7.2,sub,sub,5.5,x1,div,add,7.4,5.8,sub,8.3,div,5.5,9.6,6.7,sub,x1,9.6",0.0024101672822435
x1,['b11'],b12,8.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 8.2",[6.7/(31.3 - 3.00242699596148*x1)],"div,6.7,add,9.0,sub,6.7,sub,x1,sub,6.7,sub,9.0,sub,sub,add,sub,9.6,x1,8.3,x1,div,div,x1,7.4,mul,9.6,5.8",0.0014471225457459
x1,['b11'],b12,9.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 9.2",[12.9/(-5.8*x1 + 66.6 - 2.63636363636364/(x1 - 48.14))],"div,add,5.5,7.4,sub,sub,mul,add,5.5,sub,add,9.0,div,div,sub,6.7,9.2,5.5,sub,x1,mul,8.3,5.8,x1,5.8,8.3,9.2",0.0013169144298612
x1,['b11'],b12,10.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 10.2",[5.5/(31.0674698795181 - 2.46987951807229*x1)],"div,5.5,sub,add,5.5,div,add,9.6,mul,add,6.7,5.5,sub,9.6,x1,8.3,sub,sub,x1,sub,9.6,8.3,9.0",0.0006873726816668
x1,['b11'],b12,11.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 11.2",[6.7/(41.0111111111111 - 3*x1)],"div,6.7,add,div,add,sub,6.7,9.0,7.4,9.0,sub,add,add,div,add,7.4,7.4,9.0,sub,add,sub,add,9.6,11.2,x1,9.0,x1,9.0,x1",0.0024326275381035
x1,['b11'],b12,12.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 12.2",[12.2/(80.7782850571668 - 5.48344301084332*x1)],"div,12.2,mul,5.5,sub,add,add,7.4,div,div,add,6.7,sub,6.7,add,sub,add,mul,5.5,6.7,7.4,x1,6.7,mul,6.7,7.4,6.7,7.4,x1",0.0013327531547991
x1,['b11'],b12,13.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 13.2",[18.6/(131.696385542169 - 8.3*x1)],"div,add,9.6,9.0,sub,6.7,add,sub,div,6.7,add,8.3,8.3,mul,5.5,add,9.6,13.2,mul,8.3,x1",0.0053658730150832
x1,['b11'],b12,14.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 14.2",[5.5/(41.7 - 2.46623563218391*x1)],"div,5.5,sub,14.2,sub,8.3,sub,14.2,add,sub,mul,div,sub,x1,5.8,5.8,14.2,7.4,div,div,x1,5.8,9.6",0.000863884344089
x1,['b11'],b12,15.2,"8.3, 7.4, 5.5, 9.6, 9, 6.7, 5.8, 15.2",[5.5/(44.3785059799383 - 2.46875*x1)],"div,5.5,add,mul,5.8,5.5,sub,div,add,sub,div,div,5.5,9.6,9.0,add,mul,sub,x1,8.3,add,9.6,5.5,15.2,add,x1,9.6,9.6,x1",0.0012580665437505825
